event_id,event_name,start_time,fighter_a,fighter_b,scheduled_rounds,is_title_fight,market,selection,book,american_odds,selection_name,odds_api_event_id,odds_source,snapshot_fallback_used,last_snapshot_time
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Colby Thicknesse,Vince Morales,3.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Colby Thicknesse,Vince Morales,3.0,0,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision,manual,,Fight doesn't go to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Colby Thicknesse,Vince Morales,3.0,0,inside_distance,fighter_a,manual,,Colby Thicknesse,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Colby Thicknesse,Vince Morales,3.0,0,inside_distance,fighter_b,manual,,Vince Morales,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Colby Thicknesse,Vince Morales,3.0,0,by_decision,fighter_a,manual,,Colby Thicknesse,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Colby Thicknesse,Vince Morales,3.0,0,by_decision,fighter_b,manual,,Vince Morales,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Ben Johnston,Wes Schultz,3.0,0,moneyline,fighter_a,fanduel,-140.0,Ben Johnston,783061f020d8480cd696d9b91ac0b1c7,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Ben Johnston,Wes Schultz,3.0,0,moneyline,fighter_b,fanduel,118.0,Wes Schultz,783061f020d8480cd696d9b91ac0b1c7,live_api,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Ben Johnston,Wes Schultz,3.0,0,fight_goes_to_decision,fight_goes_to_decision,manual,,Fight goes to decision,,missing,0,
ufc-fn-2026-05-02,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02T07:00:00-04:00,Ben Johnston,Wes Schultz,3.0,0,fight_doesnt_go_to_decision,fight_doesnt_go_to_decision,manual,,Fight doesn't go to decision,,missing,0,
